id,lat,lon
108220932,-12.1011291,-77.0308528
108220933,-12.1021957,-77.0306608
108221127,-12.1008202,-77.0288621
108221128,-12.1012196,-77.0313621
108221784,-12.1005318,-77.0309576
108234779,-12.1093629,-77.0361839
108234781,-12.108633,-77.0355891
108235129,-12.111242,-77.0376446
108236183,-12.1098985,-77.0369774
108236185,-12.110006,-77.0372092
108236192,-12.110683,-77.037096
108236195,-12.1107175,-77.0369635
108236484,-12.1099362,-77.036739
108237805,-12.1187156,-77.0426569
108237806,-12.1178846,-77.0423214
108237807,-12.117077,-77.0419527
108237808,-12.1161915,-77.04154
108237811,-12.1151402,-77.0406987
108237813,-12.1131619,-77.0391178
108237815,-12.112207,-77.038386
108238958,-12.1189469,-77.0404086
108238959,-12.1190841,-77.0404065
108238967,-12.1193227,-77.0401177
108238968,-12.1192297,-77.0398676
108238969,-12.1190902,-77.0397867
108238979,-12.1186997,-77.0400672
108238984,-12.1187942,-77.040326
108240035,-12.1187461,-77.0429786
114612757,-12.1197405,-77.0240741
114612758,-12.1198488,-77.023903
114612786,-12.1207291,-77.0229085
114612787,-12.1198898,-77.0241243
114612789,-12.1196699,-77.0244505
114612794,-12.1191886,-77.0267155
114612795,-12.1191676,-77.0281999
114612819,-12.1190359,-77.0289139
114612820,-12.1190526,-77.0274461
114612821,-12.1190616,-77.0267131
114612822,-12.1190775,-77.0256353
114613813,-12.1226766,-77.0304267
114615158,-12.1337454,-77.0285392
114615160,-12.13383,-77.0283091
114615165,-12.1348366,-77.0275108
114615166,-12.1349571,-77.027357
114615167,-12.135388,-77.0268173
114615168,-12.1357696,-77.0262967
114615800,-12.1363991,-77.027665
114615803,-12.135806,-77.0279175
133915457,-12.1326694,-77.0284451
133915458,-12.1331807,-77.0277633
133915459,-12.1332325,-77.0276975
133915461,-12.1340251,-77.0267675
133915462,-12.1345327,-77.0261247
133917817,-12.1299092,-77.0244542
133917819,-12.1306453,-77.0251803
133917823,-12.1314562,-77.0259803
133917825,-12.1320639,-77.0265621
133918636,-12.123545,-77.0387615
133918637,-12.1239558,-77.0380079
133918643,-12.1255516,-77.0369516
133918645,-12.12601,-77.036706
133922975,-12.1265553,-77.032678
133922977,-12.1257412,-77.0323439
133922980,-12.1259816,-77.0317639
133922981,-12.1251748,-77.0314347
133922983,-12.1255409,-77.0305278
133923278,-12.1267987,-77.0320767
133923937,-12.124945,-77.0320226
133924286,-12.1263725,-77.0307719
133924945,-12.1225533,-77.0309643
133925753,-12.1229387,-77.0291778
133926635,-12.1300335,-77.0318652
133926637,-12.1295972,-77.0317396
133926638,-12.1290726,-77.0315895
133926640,-12.1280797,-77.0312914
133926641,-12.1272303,-77.0310166
133927069,-12.1294593,-77.033873
133927071,-12.1283367,-77.0334121
133927073,-12.127428,-77.0330363
133928358,-12.1276562,-77.0324447
133928867,-12.1271997,-77.0336297
133929689,-12.1281013,-77.0339978
133929690,-12.1285657,-77.0328334
133929693,-12.1301173,-77.0289987
133929694,-12.1304094,-77.0282863
133929695,-12.1307027,-77.0275717
133929697,-12.1309345,-77.026979
133930107,-12.1319155,-77.0269474
133930108,-12.1316507,-77.0276397
133930110,-12.1313893,-77.0283214
133930111,-12.1311033,-77.0290673
133930363,-12.1290176,-77.033699
133933005,-12.1219562,-77.0247572
133933007,-12.1217561,-77.0239253
133933009,-12.121543,-77.0230396
133933273,-12.1220882,-77.0247222
133933274,-12.1218988,-77.0238898
133935048,-12.1222795,-77.0225065
133935052,-12.1235268,-77.0234943
133935053,-12.123717,-77.0243282
133935054,-12.1236846,-77.0248001
133935055,-12.1235023,-77.0258933
133935056,-12.1233387,-77.0268451
133935057,-12.1231762,-77.0278183
133935657,-12.1265595,-77.0280466
133935659,-12.1269961,-77.0269613
133935661,-12.1275288,-77.0256611
133935662,-12.1277329,-77.025159
133935665,-12.1281777,-77.0240642
133936088,-12.1274391,-77.028091
133936090,-12.1278821,-77.0269854
133936466,-12.1283842,-77.0281427
133936467,-12.1289813,-77.0266751
133936468,-12.129235,-77.0260791
133938965,-12.1289685,-77.0289322
133938967,-12.1292521,-77.0282078
133938969,-12.1295225,-77.0274913
133938971,-12.1298529,-77.0266017
133938973,-12.1299389,-77.0264115
133938975,-12.1300679,-77.0261043
134250228,-12.0940363,-77.0349052
134250229,-12.0945963,-77.0350751
134250231,-12.0979919,-77.0366079
134252760,-12.0980403,-77.0362412
134252761,-12.0995484,-77.0364285
134252763,-12.100492,-77.0366941
134252767,-12.103555,-77.0369725
134252768,-12.1040532,-77.0370375
134252770,-12.1050775,-77.0371819
134252774,-12.1062462,-77.0371822
134252775,-12.1072081,-77.0371238
134252777,-12.1072992,-77.0371195
134252779,-12.1084422,-77.0370444
134254598,-12.1069588,-77.0381507
134254600,-12.1049884,-77.0379072
134254601,-12.1039608,-77.037774
134380222,-12.1077946,-77.0393818
134380224,-12.1082598,-77.038941
134380226,-12.1089646,-77.0382411
134381515,-12.1114422,-77.0408585
134381516,-12.1106255,-77.0399516
134381517,-12.1113302,-77.0392754
134381519,-12.1104912,-77.0383716
134381825,-12.1095185,-77.0427358
134381826,-12.1100465,-77.0422439
134381827,-12.1107557,-77.0415485
134381829,-12.1121696,-77.0401233
134384552,-12.1078379,-77.0409574
134384554,-12.1083387,-77.0404818
134384555,-12.1090549,-77.0397788
138837115,-12.1019337,-77.03298
138838890,-12.1010309,-77.0345817
138838891,-12.1009032,-77.0345641
138838896,-12.0975931,-77.034069
138838899,-12.0969823,-77.0339476
138839064,-12.1017692,-77.0319596
138839065,-12.1018814,-77.0333691
138839724,-12.1030236,-77.0328005
138839725,-12.1032059,-77.033895
138846126,-12.0966381,-77.0295392
138846127,-12.0976332,-77.0293958
138846858,-12.0969188,-77.0315271
138846859,-12.0979068,-77.031385
138846862,-12.098692,-77.0312537
138847345,-12.0967829,-77.030581
138847346,-12.0977771,-77.0304415
138847350,-12.0985558,-77.0303099
138847529,-12.1006693,-77.027965
138847789,-12.1013233,-77.0287891
138851015,-12.1148352,-77.0368477
138851017,-12.1148361,-77.0357876
138851019,-12.1148526,-77.0347362
138851020,-12.114857,-77.03349
138851022,-12.1148633,-77.0323947
138851437,-12.1043466,-77.0302964
138851441,-12.1054156,-77.0301254
138851445,-12.1064802,-77.029948
138851450,-12.1069956,-77.0298619
138851451,-12.1075649,-77.029761
138851455,-12.1086233,-77.0295934
138851457,-12.1092301,-77.0294851
138851460,-12.1094918,-77.0294401
138851462,-12.1104953,-77.029265
138851464,-12.111535,-77.029084
138851465,-12.11258,-77.0289044
138851466,-12.1136383,-77.0287403
138851467,-12.1137352,-77.0287246
138851468,-12.1144761,-77.0285922
138851469,-12.1169511,-77.0281857
138851471,-12.1172141,-77.0281661
138851473,-12.1169504,-77.0278046
138851475,-12.1169529,-77.031378
138851476,-12.1169469,-77.0324368
138851478,-12.116932,-77.0335161
138851479,-12.1169195,-77.0347428
138851481,-12.1169014,-77.0358074
138851483,-12.1168878,-77.0368662
138851485,-12.1158549,-77.0368579
138852135,-12.1190927,-77.0370603
138852136,-12.1191001,-77.0368958
138852138,-12.1191136,-77.0358286
138852139,-12.1191236,-77.0347644
138852140,-12.1191341,-77.0337386
138852223,-12.1168838,-77.0370294
138852224,-12.117126,-77.0370357
138853230,-12.115517,-77.0370027
138853234,-12.1162194,-77.0370223
138853239,-12.120142,-77.0370862
138853789,-12.1190434,-77.0281929
138853793,-12.1182817,-77.0281837
138854662,-12.117889,-77.029064
138854730,-12.1179283,-77.0380945
138854732,-12.1179329,-77.037043
138854733,-12.117934,-77.0368766
138854734,-12.1179404,-77.0358173
138854735,-12.1179468,-77.0347527
138854736,-12.1179642,-77.0335173
138854737,-12.1179723,-77.0324484
138854739,-12.1179804,-77.0313858
138854740,-12.1179986,-77.030317
138950640,-12.1256855,-77.0279782
138986048,-12.1323881,-77.0257165
140342034,-12.1332525,-77.0261578
140342732,-12.1337456,-77.0254959
140342734,-12.1344497,-77.0260547
140343487,-12.1334526,-77.025423
140343534,-12.1329456,-77.0234934
140343535,-12.1331227,-77.0242096
140343536,-12.1332296,-77.024581
140344731,-12.1313943,-77.022391
140344732,-12.1316707,-77.0234285
140344734,-12.1318432,-77.0235758
140344737,-12.1320729,-77.0245154
140346734,-12.1315375,-77.0249727
140346737,-12.1321767,-77.0248796
140346740,-12.1338702,-77.0243114
140346743,-12.1347155,-77.0239343
140346745,-12.1350634,-77.024942
140347256,-12.1344574,-77.0234362
140351881,-12.1359266,-77.0251829
140351885,-12.1375176,-77.0265285
140355727,-12.1366692,-77.0285344
140355743,-12.1306971,-77.0344542
140355751,-12.1269025,-77.0372888
182472504,-12.0783728,-76.9650496
182472505,-12.0792278,-76.9656745
182472511,-12.0860006,-76.9879059
182472514,-12.0939889,-77.0571748
197647900,-12.1126416,-77.0299762
197649398,-12.1074136,-77.0288715
197654143,-12.119432,-77.0259471
197654176,-12.1331104,-77.021467
197654185,-12.1343014,-77.0214719
197654198,-12.1361673,-77.0255712
197656057,-12.1243685,-77.0369482
197656200,-12.1249544,-77.0369499
197656584,-12.1229069,-77.0358697
197656586,-12.1232984,-77.0369451
197656644,-12.1267246,-77.0359239
197656647,-12.1249701,-77.0358967
197656648,-12.1243762,-77.035893
197657720,-12.126376,-77.0349286
197657722,-12.1249848,-77.0348987
197657723,-12.1243834,-77.0348724
197658041,-12.1233277,-77.0348524
197658042,-12.1233315,-77.033791
197658044,-12.1238469,-77.033835
197658046,-12.1238434,-77.0337394
197658047,-12.1243455,-77.0331255
197658843,-12.1222851,-77.0348238
197658844,-12.121223,-77.0348179
197658845,-12.1201702,-77.0347716
197659537,-12.1222965,-77.0336804
197659539,-12.1222601,-77.0369422
197659540,-12.1222483,-77.0379949
197659541,-12.1222572,-77.0390337
197659543,-12.1222969,-77.0397025
197660042,-12.1211768,-77.0401154
197660043,-12.1211935,-77.0390256
197660045,-12.1212093,-77.0379947
197660046,-12.1211995,-77.0369119
197660048,-12.1212111,-77.0358524
197660075,-12.1217392,-77.0401102
197660496,-12.1243908,-77.0339007
197661433,-12.1232832,-77.0322109
197667413,-12.1212376,-77.0336999
197667414,-12.121935,-77.0329258
197667415,-12.122433,-77.0323622
197667417,-12.122926,-77.0318028
197667892,-12.1190909,-77.0390181
197667893,-12.1190917,-77.0381089
197668241,-12.1201145,-77.0390176
197668242,-12.1189554,-77.0389959
197668243,-12.1179329,-77.0389699
197668686,-12.1232833,-77.0390035
197669377,-12.1211689,-77.040635
197669379,-12.1200816,-77.0417055
197672455,-12.1190578,-77.0425146
197672456,-12.1190682,-77.0416815
197672457,-12.1190753,-77.0411143
197675227,-12.1100679,-77.0516981
197675229,-12.1117049,-77.0514491
197675237,-12.113795,-77.0490225
197675239,-12.1148536,-77.0487951
197675240,-12.115599,-77.048108
197675242,-12.1163115,-77.0474024
197675245,-12.1170698,-77.0461753
197675261,-12.1185059,-77.0441818
197675262,-12.1186465,-77.044107
197675276,-12.1201482,-77.043478
197675278,-12.1206351,-77.0432328
197675281,-12.1211428,-77.0430057
197675289,-12.1220813,-77.041704
197675303,-12.1226666,-77.0402437
252115302,-12.1258475,-77.02693
252115303,-12.1222441,-77.026799
252115304,-12.1214232,-77.0267836
252115305,-12.1203992,-77.0267557
252115306,-12.1199108,-77.0267407
252115368,-12.1203958,-77.0276653
252115369,-12.1214952,-77.0277303
252115370,-12.1223569,-77.0277721
252115496,-12.1326333,-77.0256472
257943345,-12.1273821,-77.0260175
257943346,-12.130923,-77.0261363
257943347,-12.1160675,-77.0456846
257943348,-12.1090642,-77.0527019
257946205,-12.1204917,-77.0453909
257946707,-12.113958,-77.0347333
257946713,-12.1139092,-77.0334773
257946723,-12.1116399,-77.0313337
257946726,-12.1106045,-77.0314146
257946751,-12.1106273,-77.0323877
258069478,-12.0882615,-76.9811072
258309932,-12.1419848,-77.0266267
258374854,-12.120053,-77.0211651
258374867,-12.1191694,-77.0302976
259996513,-12.1179248,-77.0411331
259996514,-12.1161503,-77.042873
259996515,-12.1154235,-77.0435597
259996516,-12.1139927,-77.0449776
259996517,-12.1125645,-77.0463891
259996518,-12.1118273,-77.0471314
259996519,-12.111069,-77.0478723
259996520,-12.1103481,-77.0485492
