origen,destino,nombre,longitud,velocidad_max,tipo_via,sentido_unico,vulnerabilidad
3788360379,3788360383,Jirón Cerro Azul,165.9868995324679,40,residential,True,0.8
3788360383,5413182485,Avenida Panamericana Sur,123.55227214640706,60,primary,True,0.2
3788360398,3788360404,Calle sin nombre,55.6340145259658,40,residential,True,0.8
3788360398,472558263,Avenida De los Ingenieros,75.00249929453582,40,tertiary,True,0.6
3788360404,472558263,Calle Los Nogales,42.94058176905905,40,residential,False,0.8
3788360404,671080602,Calle Los Nogales,115.28841762111082,40,residential,False,0.8
3788360405,442761307,Las Cantutas,423.955770710392,40,residential,False,0.8
3788360409,1273879039,Los Castaños,577.8774585040996,40,residential,False,0.8
3788360425,3788360383,Avenida Panamericana Sur,51.48674138781075,40,primary,True,0.2
3789007218,4724899855,Calle sin nombre,11.141247817265011,40,residential,False,0.8
3789007218,369140135,Avenida Coronel Reynaldo Vivanco,47.80963604611322,40,tertiary,True,0.6
3789007219,4724899855,Calle sin nombre,53.50415911431397,40,residential,False,0.8
3789007219,3789007219,Calle sin nombre,48.11856613561742,20,residential,True,0.8
3796283435,263939365,Calle Los Ruiseñores,116.335929105371,30,residential,True,0.8
3796312277,3796312278,Calle Audiencia,27.449985549675954,40,residential,True,0.8
3796312277,262909447,Avenida Petit Thouars,15.987626573308631,50,secondary,True,0.4
3796312278,262909447,Calle Antequera,30.98449308384117,30,residential,False,0.8
3796312278,262909414,Avenida Antequera,23.559628127410864,40,residential,False,0.8
3810251604,4033757926,Calle Las Azucenas,103.44722785377144,40,residential,True,0.8
3810251604,262909419,Calle Augusto Tamayo,58.992591432621175,40,residential,True,0.8
3810581047,263936806,Calle Los Halcones,69.51071922731394,40,residential,True,0.8
3811321960,457799881,Martin Luther King,28.16166576754572,40,residential,True,0.8
3811321960,419482714,Calle Becqier,88.88278600153438,40,residential,False,0.8
3811321963,457799883,Martin Luther King,19.45668660772389,40,residential,True,0.8
3811321963,419482712,Poe,86.91354069495863,40,residential,False,0.8
3811321965,457800249,Pasaje Zola,36.9973173680553,40,residential,False,0.8
3811321983,263931534,Avenida Guardia Civil,57.10162893462085,60,secondary,True,0.4
3811321983,3811321991,Calle sin nombre,26.83226285583832,20,secondary_link,True,0.8
3811321991,419482706,Avenida Guardia Civil,21.96909684248312,60,secondary,True,0.4
3811321992,419482672,Avenida Guardia Civil,135.61438084775438,60,secondary,True,0.4
3811321992,3811322002,Calle sin nombre,17.956726196922286,20,secondary_link,True,0.8
3811322002,316627427,Avenida Guardia Civil,76.60630671330166,60,secondary,True,0.4
3811342110,262567627,Jirón General Borgoño,49.27412909317906,40,residential,True,0.8
3811342111,262570465,Calle Independencia,125.58261613561096,30,residential,False,0.8
3811342111,262567626,Calle García Calderón,85.93943095739715,40,residential,True,0.8
